mz,rt,mode
469.28,11.9,Negative
469.36,6.5,Negative
470.29,11.9,Negative
470.36,6.5,Negative
470.89,0.3,Negative
471.23,8.3,Negative
472.13,0.4,Negative
472.27,2.5,Negative
473.28,11.4,Negative
474.16,0.4,Negative
474.29,11.3,Negative
475.14,10.1,Negative
475.29,11.4,Negative
476.14,10.1,Negative
477.09,8,Negative
477.27,11.8,Negative
477.97,3.2,Negative
479.28,7.6,Negative
479.28,12.2,Negative
479.28,6.7,Negative
480.11,10.1,Negative
480.28,7.6,Negative
480.29,12.2,Negative
480.29,6.7,Negative
481.07,6.9,Negative
481.3,12.2,Negative
481.4,8.5,Negative
482.14,0.4,Negative
482.3,12.2,Negative
482.81,12.8,Negative
483.3,12.2,Negative
484.13,0.4,Negative
485.28,10.4,Negative
486.12,0.4,Negative
486.28,10.4,Negative
487.24,5.7,Negative
487.28,10.4,Negative
488.14,0.4,Negative
488.28,10.4,Negative
489.19,9.4,Negative
490.2,9.4,Negative
492.15,0.4,Negative
493.21,11.8,Negative
493.26,10.3,Negative
494.13,0.4,Negative
494.91,11.9,Negative
495.31,5.7,Negative
495.44,9.8,Negative
496.13,0.4,Negative
496.31,5.7,Negative
497.18,8.4,Negative
497.31,12.5,Negative
497.31,5.7,Negative
498.13,0.4,Negative
498.91,11.9,Negative
499.36,8.5,Negative
499.91,12,Negative
500.14,0.4,Negative
500.37,8.5,Negative
501.23,11.8,Negative
501.88,0.3,Negative
502.14,0.4,Negative
502.88,0.3,Negative
503.17,11.4,Negative
503.92,11.9,Negative
504.14,0.4,Negative
504.19,11.4,Negative
504.2,9.5,Negative
504.3,8.3,Negative
504.95,11.9,Negative
505.34,9.9,Negative
505.93,11.9,Negative
506.34,9.9,Negative
507.16,9.8,Negative
509.45,9.8,Negative
510.13,0.4,Negative
510.88,11.9,Negative
511.89,12,Negative
512.14,0.4,Negative
513.3,11.9,Negative
514.14,0.4,Negative
515.27,11.4,Negative
516.16,0.4,Negative
516.91,0.3,Negative
517.31,10.8,Negative
517.92,0.3,Negative
517.9,3.2,Negative
518.9,0.3,Negative
519.18,9.6,Negative
519.88,0.3,Negative
520.91,11.9,Negative
521.93,11.9,Negative
522.92,11.9,Negative
523.34,6.4,Negative
524.07,6.9,Negative
524.14,0.4,Negative
524.34,6.4,Negative
525.16,11.9,Negative
525.3,11.4,Negative
525.39,8.5,Negative
525.46,9.7,Negative
526.15,0.4,Negative
526.15,11.9,Negative
526.3,11.4,Negative
526.46,9.7,Negative
527.88,12,Negative
527.95,3.2,Negative
528.13,0.4,Negative
529.3,10.5,Negative
529.42,7.8,Negative
530.15,0.4,Negative
530.31,10.5,Negative
531.3,6.8,Negative
531.3,10.5,Negative
532.16,0.4,Negative
532.3,6.8,Negative
532.88,0.3,Negative
533.29,6.8,Negative
533.9,0.3,Negative
534.87,0.3,Negative
535.16,9.5,Negative
535.28,5,Negative
535.83,0.3,Negative
536.17,9.5,Negative
537.31,6.8,Negative
537.27,11.8,Negative
537.48,9.9,Negative
538.31,6.8,Negative
538.88,0.3,Negative
540.15,0.4,Negative
542.02,3.2,Negative
542.14,0.4,Negative
542.29,11.4,Negative
543.29,6,Negative
543.46,9.8,Negative
544.04,3.2,Negative
544.13,0.4,Negative
544.46,9.8,Negative
545.27,7,Negative
545.44,9.8,Negative
546.28,2.5,Negative
546.91,11.9,Negative
548.86,0.3,Negative
549.25,2.6,Negative
549.36,6.6,Negative
549.86,0.3,Negative
