ID,log2FC,FDR,label
ENSMUSG00000014195,-3.89E-02,9.72E-01,
ENSMUSG00000014313,6.20E-01,1.46E-01,
ENSMUSG00000014444,8.62E-01,4.54E-01,
ENSMUSG00000014496,-4.91E-01,2.06E-01,
ENSMUSG00000014504,5.90E-02,9.66E-01,
ENSMUSG00000014547,1.04E+00,1.11E-01,
ENSMUSG00000014550,2.27E-01,1.62E-01,
ENSMUSG00000014551,-8.63E-01,3.17E-01,
ENSMUSG00000014602,4.17E-01,7.95E-01,
ENSMUSG00000014767,-2.59E-01,7.69E-01,
ENSMUSG00000014778,2.95E-02,9.70E-01,
ENSMUSG00000014782,-1.19E+00,2.94E-01,
ENSMUSG00000014813,-1.81E+00,1.52E-04,
ENSMUSG00000014837,1.07E-01,9.35E-01,
ENSMUSG00000014932,-1.23E-01,8.94E-01,
ENSMUSG00000015112,9.09E-01,2.20E-09,
ENSMUSG00000015176,8.90E-01,2.24E-01,
ENSMUSG00000015189,-3.68E-01,4.88E-02,
ENSMUSG00000015214,2.03E-01,3.98E-01,
ENSMUSG00000015243,-3.36E-01,2.31E-02,
ENSMUSG00000015247,5.20E-01,1.32E-05,
ENSMUSG00000015291,1.17E+00,1.62E-06,
ENSMUSG00000015484,-4.88E-01,1.24E-01,
ENSMUSG00000015488,1.78E-01,3.63E-01,
ENSMUSG00000015501,-2.85E+00,1.31E-01,
ENSMUSG00000015536,-4.31E+00,2.68E-08,
ENSMUSG00000015597,5.25E-01,3.07E-01,
ENSMUSG00000015599,1.14E-01,9.59E-01,
ENSMUSG00000015697,-2.54E-01,1.12E-01,
ENSMUSG00000015702,-1.06E+00,5.88E-01,
ENSMUSG00000015709,-1.35E-03,9.94E-01,
ENSMUSG00000015714,-4.44E-01,5.01E-01,
ENSMUSG00000015733,6.71E-01,6.79E-13,
ENSMUSG00000015745,3.85E-01,4.78E-03,
ENSMUSG00000015748,-4.25E-02,9.59E-01,
ENSMUSG00000015750,-3.37E-01,7.99E-01,
ENSMUSG00000015757,7.03E-01,3.52E-01,
